site,lat,lon,aez_name,precip_annual,temp_mean_annual,precip_seasonality,lgp_days,elevation,slope,soil_clay,soil_ph,soil_soc,land_cover
Addis Ababa,9.03,38.74,Moist Dega,1143.3060302734375,15.912003517150879,86.90283203125,273.0,2439.508056640625,4.855258464813232,32.60000228881836,6.599999904632568,32.70000076293945,Built-up
Mekelle,13.49,39.47,Dry Weyna Dega,658.2845458984375,19.553300857543945,117.73561096191406,92.0,2073.146240234375,2.826866626739502,27.899999618530273,8.100000381469727,22.200000762939453,Built-up
Hawassa,7.06,38.48,Moist Weyna Dega,997.4340209960938,19.681686401367188,47.937259674072266,273.0,1697.522216796875,1.3309497833251953,33.0,6.5,62.0,Built-up
Semera (Afar),11.79,41.0,Dry Berha,216.49314880371094,28.366056442260742,84.36143493652344,0.0,422.49102783203125,1.4667532444000244,21.30000114440918,8.199999809265137,7.599999904632568,Bare/sparse vegetation
Gambela,8.25,34.58,Moist Berha,1103.6297607421875,27.61087417602539,79.67078399658203,184.0,434.0884094238281,0.673059344291687,24.700000762939453,6.200000286102295,26.899999618530273,Herbaceous wetland
Jimma,7.67,36.83,Wet Weyna Dega,1563.6522216796875,19.276790618896484,58.88256072998047,303.0,1731.9107666015625,0.780506432056427,34.29999923706055,6.0,36.70000076293945,Built-up
