value_OBJECTID,Agro_zone,area_ha
1,Dry Berha,14435122.37
2,Moist Berha,1685200.0
3,Dry Kolla,46539107.84
4,Moist Kolla,10395582.64
5,Wet Kolla,1379400.0
6,Dry Weyna Dega,7344656.71
7,Moist Weyna Dega,13095500.0
8,Wet Weyna Dega,8776100.0
9,Dry Dega,925300.0
10,Moist Dega,4886500.0
11,Wet Dega,3295800.0
12,Moist High Dega,476800.0
13,Wet High Dega,135100.0
14,Moist Wurch,104200.0
15,Wet Wurch,14400.0
